transaction_id,date,product_id,quantity,unit_price,total_amount,customer_id
1,2023-11-20,23,15,99.99,1499.85,CUST-3431
2,2023-11-20,13,14,19.99,279.86,CUST-6726
3,2023-11-20,22,2,199.99,399.98,CUST-7065
4,2023-11-20,13,17,19.99,339.83,CUST-7168
5,2023-11-20,10,5,4.99,24.95,CUST-8667
6,2023-11-20,20,6,29.99,179.94,CUST-1138
7,2023-11-20,15,15,9.99,149.85,CUST-8825
8,2023-11-20,20,3,29.99,89.97,CUST-1949
9,2023-11-20,6,12,129.99,1559.88,CUST-9535
10,2023-11-20,16,12,34.99,419.88,CUST-5660
11,2023-11-20,5,25,79.99,1999.75,CUST-6758
12,2023-11-20,15,14,9.99,139.86,CUST-5337
13,2023-11-20,18,2,499.99,999.98,CUST-7076
14,2023-11-20,4,12,49.99,599.88,CUST-7913
15,2023-11-20,17,3,299.99,899.97,CUST-2203
16,2023-11-20,14,23,14.99,344.77,CUST-4158
17,2023-11-20,19,2,89.99,179.98,CUST-7111
18,2023-11-20,18,2,499.99,999.98,CUST-5527
19,2023-11-20,8,31,119.99,3719.69,CUST-3030
20,2023-11-20,19,4,89.99,359.96,CUST-9079
21,2023-11-20,11,16,12.99,207.84,CUST-7994
22,2023-11-20,12,23,8.99,206.77,CUST-9030
23,2023-11-20,15,6,9.99,59.94,CUST-6643
24,2023-11-20,18,2,499.99,999.98,CUST-2248
25,2023-11-20,24,9,9.99,89.91,CUST-3951
26,2023-11-20,5,37,79.99,2959.63,CUST-2144
27,2023-11-20,4,13,49.99,649.87,CUST-2917
28,2023-11-20,12,21,8.99,188.79,CUST-1942
29,2023-11-20,22,2,199.99,399.98,CUST-7777
30,2023-11-20,10,10,4.99,49.9,CUST-3549
31,2023-11-20,16,21,34.99,734.79,CUST-7624
32,2023-11-20,20,6,29.99,179.94,CUST-9186
33,2023-11-20,3,11,12.99,142.89,CUST-5711
34,2023-11-20,4,10,49.99,499.9,CUST-5023
35,2023-11-20,11,10,12.99,129.9,CUST-5862
36,2023-11-20,28,11,6.99,76.89,CUST-5135
37,2023-11-20,28,9,6.99,62.91,CUST-7914
38,2023-11-20,1,33,29.99,989.67,CUST-3220
39,2023-11-20,24,10,9.99,99.9,CUST-9991
40,2023-11-20,22,4,199.99,799.96,CUST-6137
41,2023-11-20,8,15,119.99,1799.85,CUST-6242
42,2023-11-20,19,2,89.99,179.98,CUST-4124
43,2023-11-20,8,18,119.99,2159.82,CUST-2688
44,2023-11-20,9,9,24.99,224.91,CUST-6654
45,2023-11-20,1,21,29.99,629.79,CUST-9331
46,2023-11-20,25,6,199.99,1199.94,CUST-4508
47,2023-11-20,6,22,129.99,2859.78,CUST-1612
48,2023-11-21,28,9,6.99,62.91,CUST-5080
49,2023-11-21,6,15,129.99,1949.85,CUST-8838
50,2023-11-21,24,7,9.99,69.93,CUST-6133
51,2023-11-21,26,16,12.99,207.84,CUST-4782
52,2023-11-21,17,4,299.99,1199.96,CUST-3731
53,2023-11-21,16,24,34.99,839.76,CUST-8802
54,2023-11-21,27,12,8.99,107.88,CUST-9503
55,2023-11-21,25,11,199.99,2199.89,CUST-5514
56,2023-11-21,4,6,49.99,299.94,CUST-2251
57,2023-11-21,24,7,9.99,69.93,CUST-4901
58,2023-11-21,1,15,29.99,449.85,CUST-2127
59,2023-11-21,3,18,12.99,233.82,CUST-7141
60,2023-11-21,15,15,9.99,149.85,CUST-7643
61,2023-11-21,17,4,299.99,1199.96,CUST-4845
62,2023-11-22,24,15,9.99,149.85,CUST-3430
63,2023-11-22,3,19,12.99,246.81,CUST-1117
64,2023-11-22,4,14,49.99,699.86,CUST-1713
65,2023-11-22,14,13,14.99,194.87,CUST-8721
66,2023-11-22,4,9,49.99,449.91,CUST-1155
67,2023-11-22,12,15,8.99,134.85,CUST-1777
68,2023-11-22,10,10,4.99,49.9,CUST-6130
69,2023-11-22,26,9,12.99,116.91,CUST-6800
70,2023-11-22,13,24,19.99,479.76,CUST-2621
71,2023-11-22,3,13,12.99,168.87,CUST-7689
72,2023-11-22,12,28,8.99,251.72,CUST-2533
73,2023-11-22,27,7,8.99,62.93,CUST-2548
74,2023-11-22,5,24,79.99,1919.76,CUST-9304
75,2023-11-22,20,5,29.99,149.95,CUST-6508
76,2023-11-22,23,13,99.99,1299.87,CUST-9898
77,2023-11-22,2,10,89.99,899.9,CUST-1722
78,2023-11-22,14,21,14.99,314.79,CUST-6834
79,2023-11-22,25,7,199.99,1399.93,CUST-6445
80,2023-11-22,19,4,89.99,359.96,CUST-8214
81,2023-11-22,28,10,6.99,69.9,CUST-7966
82,2023-11-22,10,9,4.99,44.91,CUST-4142
83,2023-11-22,23,15,99.99,1499.85,CUST-6614
84,2023-11-23,22,2,199.99,399.98,CUST-7728
85,2023-11-23,9,16,24.99,399.84,CUST-8859
86,2023-11-23,22,3,199.99,599.97,CUST-8388
87,2023-11-23,24,10,9.99,99.9,CUST-9822
88,2023-11-23,25,11,199.99,2199.89,CUST-2540
89,2023-11-23,13,25,19.99,499.75,CUST-3109
90,2023-11-23,16,13,34.99,454.87,CUST-2662
91,2023-11-23,13,24,19.99,479.76,CUST-8158
92,2023-11-23,18,5,499.99,2499.95,CUST-4623
93,2023-11-23,3,14,12.99,181.86,CUST-9762
94,2023-11-23,23,12,99.99,1199.88,CUST-3469
95,2023-11-23,27,14,8.99,125.86,CUST-9341
96,2023-11-23,3,12,12.99,155.88,CUST-8112
97,2023-11-23,20,7,29.99,209.93,CUST-5401
98,2023-11-23,13,19,19.99,379.81,CUST-3019
99,2023-11-23,13,14,19.99,279.86,CUST-1950
100,2023-11-23,13,12,19.99,239.88,CUST-7996
101,2023-11-23,7,8,299.99,2399.92,CUST-2033
102,2023-11-23,5,32,79.99,2559.68,CUST-8653
103,2023-11-23,15,15,9.99,149.85,CUST-6030
104,2023-11-23,12,21,8.99,188.79,CUST-9924
105,2023-11-23,8,12,119.99,1439.88,CUST-7266
106,2023-11-23,12,38,8.99,341.62,CUST-7110
107,2023-11-23,8,31,119.99,3719.69,CUST-7366
108,2023-11-23,5,30,79.99,2399.7,CUST-2594
109,2023-11-23,2,15,89.99,1349.85,CUST-1897
